Supplier ID,Cost,Quality,Delivery time,Reliability,Flexibility,Capacity,Innovation,Reputation,Financial stability,Environmental impact,Social responsibility,Safety record,Technical expertise,Customer service,Lead time,Responsiveness,Contract terms,Diversity,Sustainability,Scalability,Supplier’s default
1020,0.825,,0.109,0.065,0.941,0.631,0.614,Good,0.019,0.957,0.113,0.591,0.009,0.649,0.755,0.332,0.615,0.24,0.465,0.685,1
1021,0.969,0.405,0.314,0.22,0.574,0.389,0.902,Average,0.463,0.074,0.53,0.363,0.554,0.383,0.379,0.122,0.563,0.969,0.933,0.848,1
1022,0.793,0.62,0.437,0.773,0.712,,0.442,Good,0.443,0.895,0.05,0.67,0.554,0.704,0.439,0.856,0.444,0.086,0.671,0.026,2
1023,0.931,0.459,0.231,0.372,0.978,0.069,0.501,Excellent,0.369,0.553,0.704,0.849,0.98,0.355,0.889,0.854,0.425,0.018,0.488,0.006,1
1024,0.818,0.496,0.677,0.238,0.094,0.341,0.002,Excellent,0.855,0.249,0.951,0.49,0.82,0.118,0.435,0.715,0.775,0.083,,0.483,1
1025,0.758,0.167,0.559,0.65,0.653,0.227,0.738,Good,0.664,0.258,0.593,0.078,0.972,0.195,0.266,0.712,0.58,0.946,0.208,0.744,1
1026,0.818,0.957,0.517,0.966,0.809,0.51,0.333,Average,0.078,0.574,0.666,0.755,0.13,0.358,0.001,0.967,0.883,0.951,0.66,0.626,2
1027,0.802,0.153,0.243,0.045,0.022,0.851,0.269,Average,0.72,0.403,0.855,0.846,0.458,0.722,0.242,0.035,0.826,0.143,0.009,0.238,1
1028,0.117,0.209,0.201,0.561,0.889,0.047,0.224,Average,0.668,0.086,0.989,0.324,0.071,0.848,0.712,0.121,0.187,0.207,0.688,0.17,1
1029,0.669,0.718,0.887,0.872,0.551,0.835,0.402,Excellent,0.672,0.269,0.471,0.223,0.925,0.098,0.873,0.947,0.559,0.677,0.914,0.62,2
1030,0.951,0.585,0.403,0.802,0.418,0.76,0.835,Good,0.945,0.893,0.725,0.077,0.262,0.123,0.826,0.376,0.061,0.418,0.408,0.891,1
1031,0.622,0.856,0.595,0.733,0.878,0.241,0.247,Good,0.052,0.789,0.266,0.788,0.822,0.294,0.086,0.346,0.951,0.759,0.607,0.012,1
1032,0.421,0.474,0.383,0.472,0.05,0.167,0.856,Average,0.184,0.999,0.863,0.206,0.268,0.449,0.21,0.126,0.139,0.782,0.869,0.489,2
1033,0.284,0.55,0.987,0.409,0.767,0.101,0.247,Good,0.227,0.048,0.367,0.248,0.886,0.354,0.408,0.229,0.481,0.552,0.368,0.734,1
1034,0.223,0.91,0.371,0.448,0.606,0.466,0.843,Good,0.636,0.327,0.517,0.777,0.452,0.195,0.84,0.068,0.595,0.224,0.457,0.362,1
1035,0.341,0.224,0.018,0.325,0.853,0.05,0.254,Good,0.985,0.302,0.575,0.934,0.833,0.169,0.336,0.309,0.758,0.89,0.498,0.115,1
1036,0.408,0.959,0.983,0.81,0.598,0.388,0.598,Excellent,0.52,0.862,0.417,0.284,0.611,0.361,0.324,0.015,0.266,0.189,0.754,0.373,2
1037,0.223,0.642,0.813,0.003,0.579,0.366,0.607,Good,0.208,0.383,0.969,0.852,0.872,0.095,0.112,0.714,0.366,0.064,0.149,0.412,1
1038,0.603,0.768,0.595,0.389,0.371,0.492,0.64,Excellent,0.919,0.657,0.352,0.989,0.269,0.889,0.758,0.224,0.479,0.284,0.054,0.217,1
1039,0.699,0.983,0.092,0.259,0.123,0.486,0.189,Average,0.86,0.803,0.727,0.38,0.43,0.557,0.692,0.425,0.638,0.988,0.443,0.606,1
1040,0.049,0.789,0.295,0.956,0.643,0.141,0.112,Good,0.291,0.066,0.601,0.064,0.92,0.004,0.225,0.75,0.792,0.366,0.248,0.799,1
1041,0.227,0.332,0.613,0.365,0.644,0.983,0.562,Excellent,0.45,0.646,0.14,0.268,0.866,0.445,0.185,0.875,0.654,0.345,0.102,0.508,1
1042,0.928,0.153,0.321,0.956,0.248,0.674,0.599,Average,0.392,0.05,0.147,0.545,0.554,0.096,0.207,0.334,0.808,0.39,0.938,0.615,1
1043,0.767,0.422,0.874,0.322,0.003,0.238,0.961,Good,0.675,0.02,0.757,0.071,0.063,0.934,0.434,0.725,0.245,0.666,0.261,0.918,2
1044,0.81,0.476,0.596,0.594,0.711,0.028,0.102,Average,0.515,0.25,0.074,0.267,0.994,0.923,0.873,0.992,0.832,0.67,0.071,0.587,1
1045,0.376,0.429,0.909,0.876,0.848,0.833,0.941,Excellent,0.445,0.504,0.056,0.011,0.724,0.713,0.575,0.2,0.73,0.05,0.399,0.656,2
1046,0.399,0.95,0.634,0.365,0.529,0.686,0.683,Bad,0.126,0.007,0.881,0.237,0.609,0.502,0.604,0.815,0.178,0.471,0.728,0.974,1
1047,0.837,0.627,0.432,0.767,0.125,0.079,,Average,0.736,0.323,0.325,0.572,0.902,0.637,0.713,0.616,0.42,0.271,0.671,0.1,2
1048,0.432,0.814,0.291,0.616,0.438,0.694,0.887,Excellent,0.318,0.494,0.388,0.349,0.723,0.553,0.622,0.949,0.944,0.109,0.296,0.622,1
1049,0.327,0.379,0.4,0.326,,0.425,0.937,Excellent,0.861,0.758,0.54,0.481,0.879,0.744,0.947,0.723,0.708,0.002,0.808,0.025,1
1050,0.779,0.075,0.9,0.878,0.903,0.18,0.512,Good,0.081,0.564,0.541,0.798,0.965,0.93,0.544,0.746,0.18,0.845,0.395,0.486,2
1051,0.139,0.368,0.046,0.525,0.996,0.079,0.861,Good,0.286,0.164,0.339,0.965,0.908,0.934,0.121,0.827,0.674,0.586,0.052,0.392,1
1052,0.02,0.918,0.21,0.515,0.965,0.65,0.208,Good,0.677,0.136,0.01,0.58,0.688,0.096,0.351,0.928,0.263,0.243,0.931,0.215,1
1053,0.189,0.005,0.388,0.636,0.777,0.969,0.625,Bad,0.677,0.671,0.885,0.77,0.588,0.674,0.074,0.533,0.073,0.463,0.812,0.168,1
1054,0.523,0.07,0.588,0.607,,0.519,0.725,Average,0.204,0.738,0.46,0.739,0.139,0.663,0.993,0.289,0.103,0.916,0.711,0.29,1
1055,0.518,0.36,0.808,0.372,0.987,0.408,0.539,Bad,0.716,0.246,0.63,0.305,0.319,0.735,0.205,0.275,0.029,0.573,0.06,0.564,1
1056,0.675,0.509,0.9,0.654,0.473,0.5,0.378,Bad,0.531,0.318,0.692,0.655,0.756,0.22,0.221,0.568,0.913,0.509,0.486,0.232,1
1057,0.446,0.262,0.306,0.335,0.207,0.475,0.644,Good,0.487,0.288,0.45,0.592,0.005,0.23,0.446,0.609,0.246,0.342,0.961,0.289,1
1058,0.345,0.127,0.86,0.817,0.714,0.055,0.072,Excellent,0.326,0.861,0.166,0.711,0.783,0.724,0.412,0.277,0.058,0.82,0.021,0.673,2
1059,0.436,0.779,0.589,0.263,0.422,0.216,0.772,,0.203,0.337,0.759,0.551,0.513,0.875,0.847,0.745,0.657,0.736,0.331,0.396,2
1060,0.022,0.408,0.807,0.078,0.824,0.428,0.617,Bad,0.158,0.501,0.828,0.069,0.638,0.476,0.974,0.132,0.555,0.822,0.957,0.892,2
1061,0.387,0.364,0.553,0.547,0.339,0.291,0.171,Average,0.874,0.985,0.958,0.844,0.329,0.129,0.605,0.712,0.013,0.873,0.03,0.599,1
1062,0.715,0.535,0.409,0.77,0.394,0.463,0.421,Average,0.23,0.405,0.116,0.063,0.099,0.599,0.66,0.624,0.458,0.352,0.692,0.265,1
1063,0.656,0.705,0.823,0.188,0.92,0.424,0.561,Excellent,0.977,0.104,0.941,0.723,0.358,0.137,0.302,0.184,0.584,0.368,0.48,0.228,1
1064,0.551,0.344,0.867,0.322,0.112,0.657,0.809,Bad,0.815,0.26,0.934,0.193,0.766,0.086,0.891,0.108,0.862,0.182,0.26,0.938,1
1065,0.296,0.236,0.041,0.051,0.743,0.229,0.951,Bad,0.656,0.517,0.24,0.591,0.123,0.921,0.776,0.993,0.102,0.827,0.151,,1
1066,0.798,0.416,0.789,0.414,0.469,0.601,0.277,Good,0.847,0.383,0.286,0.413,0.862,0.823,0.703,0.443,0.016,0.201,0.142,0.308,1
1067,0.94,0.926,0.228,0.14,0.808,0.29,0.944,Excellent,0.984,0.637,0.626,0.305,0.449,0.469,0.893,0.868,0.636,0.506,0.98,0.009,2
1068,0.382,0.674,0.748,0.401,0.748,0.162,0.001,Bad,0.505,0.063,0.273,0.858,0.49,0.447,0.072,0.992,0.999,0.559,0.803,0.701,1
1069,0.368,0.558,0.228,0.559,0.852,0.258,0.453,Excellent,0.752,0.244,0.194,0.658,0.765,0.211,0.508,0.173,0.525,0.397,0.067,0.17,1
1070,0.003,0.517,0.047,0.644,0.841,0.948,0.873,Bad,0.115,0.132,0.144,0.658,0.752,0.022,0.383,0.201,0.121,0.983,0.155,0.255,1
1071,0.421,0.816,0.138,0.987,0.453,0.674,0.568,Good,0.395,0.014,0.522,0.171,0.184,0.03,0.1,0.203,0.987,0.182,0.329,0.251,1
1072,0.319,0.787,0.847,0.831,0.622,0.999,0.69,Excellent,0.442,0.435,0.491,0.646,0.322,0.146,0.886,0.013,0.044,0.052,0.755,0.595,2
1073,0.618,0.35,0.405,0.715,0.836,0.953,0.628,Bad,0.294,0.135,0.445,0.558,0.345,0.097,0.257,0.533,0.55,0.796,0.52,0.84,1
1074,0.702,0.078,0.769,0.46,0.16,0.459,0.571,Bad,0.759,0.295,0.644,0.541,0.762,0.587,0.357,0.077,0.101,0.832,0.395,0.694,1
1075,0.213,0.741,0.352,0.942,0.644,0.926,0.207,Good,0.797,0.899,0.434,0.023,0.392,0.371,0.333,0.913,0.593,0.217,0.362,0.238,1
1076,0.735,0.288,0.585,0.22,0.52,0.817,0.159,Good,0.284,0.082,0.548,0.335,0.541,0.608,0.214,0.175,0.807,0.863,0.934,0.288,2
1077,0.663,0.954,0.798,0.33,0.328,0.854,0.776,Good,0.329,0.864,0.826,0.924,0.963,0.001,0.502,0.082,0.903,0.585,0.119,0.007,1
1078,0.092,0.657,0.696,0.71,0.225,0.39,0.882,Good,0.955,0.667,0.204,0.641,0.303,0.804,0.525,0.14,0.113,0.625,0.79,0.888,2
1079,0.386,0.78,0.839,0.572,0.276,0.024,0.695,Excellent,0.861,0.78,0.178,0.069,0.858,0.939,0.418,0.719,0.137,0.032,0.646,0.553,2
1080,0.52,0.126,0.643,0.788,0.366,0.726,0.706,Excellent,0.842,0.27,0.235,0.569,0.741,0.716,0.391,0.245,0.037,0.48,0.335,0.121,1
1081,0.902,0.58,0.624,0.523,0.135,0.173,0.664,Excellent,0.907,0.556,0.24,0.314,0.992,0.135,0.644,0.144,0.888,0.514,0.172,0.472,1
1082,0.016,0.285,0.066,0.633,0.243,0.604,0.365,Excellent,0.343,0.576,0.425,0.294,0.348,0.698,0.839,0.773,0.997,0.717,0.347,0.317,1
1083,0.399,0.299,0.703,0.925,0.764,0.346,0.765,Average,0.178,0.572,0.115,0.912,0.601,0.606,0.821,0.853,0.013,0.949,0.364,0.6,2
1084,0.903,0.886,0.006,0.926,0.944,0.471,0.564,Bad,0.178,0.519,0.494,0.386,0.713,0.129,0.305,0.182,0.892,0.133,0.545,0.908,1
1085,0.653,0.988,0.139,0.047,0.162,0.108,0.125,Excellent,0.35,0.146,0.327,0.036,0.348,0.244,0.382,0.954,0.282,0.097,0.691,0.041,1
1086,0.725,0.11,0.364,0.046,0.23,0.338,0.214,Bad,0.758,0.365,0.697,0.521,0.759,0.461,0.548,0.013,0.478,0.656,0.794,0.481,1
1087,0.863,0.753,0.84,0.242,0.088,0.671,0.162,Good,0.835,0.185,0.47,0.962,0.814,0.553,0.267,0.984,0.823,0.237,0.138,0.654,1
1088,0.897,0.188,0.241,0.13,0.765,0.635,0.152,Bad,0.1,0.686,0.629,0.814,0.079,0.986,0.597,0.844,0.22,0.754,0.265,0.174,1
1089,0.351,0.05,0.468,0.296,0.971,0.108,0.803,Good,0.503,0.948,0.577,0.987,0.083,0.441,0.573,0.753,0.625,0.105,0.522,0.545,1
1090,0.95,0.769,0.669,0.546,0.077,0.108,0.77,Good,0.6,0.866,0.848,0.969,0.339,0.463,0.239,0.415,0.322,0.166,0.756,0.091,2
1091,0.612,0.645,0.814,0.739,0.179,0.334,0.506,Good,0.935,0.124,0.129,0.477,0.754,0.745,0.178,0.217,0.331,0.058,0.062,0.894,1
1092,0.235,0.47,0.106,0.398,0.537,0.982,0.431,Bad,0.1,0.756,0.083,0.033,0.888,0.897,0.705,0.311,0.879,0.979,0.019,0.786,1
1093,0.088,0.363,0.155,0.864,0.137,0.91,0.917,Average,0.76,0.769,0.297,0.674,0.549,0.962,0.328,0.608,0.846,0.039,0.698,0.609,1
1094,0.409,0.974,0.689,0.118,0.038,0.326,0.573,Excellent,0.893,0.57,0.923,0.328,0.534,0.236,0.561,0.841,0.461,0.433,0.209,0.852,1
1095,0.98,0.389,0.488,0.882,0.982,0.342,0.388,Bad,0.347,0.526,0.309,0.413,0.924,0.252,0.044,0.326,0.244,0.938,0.431,0.759,1
1096,0.097,0.286,0.233,0.969,0.384,0.803,0.859,Excellent,0.964,0.308,0.166,0.872,0.42,0.083,0.29,0.995,0.787,0.301,0.656,0.956,1
1097,0.486,0.101,0.966,0.473,0.306,0.653,0.888,Average,0.465,0.104,0.129,0.577,0.709,0.133,0.441,0.646,0.048,0.508,0.204,0.045,1
1098,0.283,0.892,0.723,0.919,0.577,0.294,0.292,Average,0.21,0.867,0.195,0.937,0.029,0.49,0.961,0.059,0.158,0.266,0.468,0.551,1
1099,0.312,0.538,0.375,0.156,0.224,0.294,0.395,Good,0.873,0.43,0.719,0.011,0.965,0.695,0.437,0.962,0.586,0.953,0.099,0.278,1
1100,0.587,0.27,0.214,0.326,0.435,0.969,0.465,Bad,0.529,0.232,0.205,0.887,0.526,0.485,0.476,0.401,0.51,0.36,0.393,0.278,1
1101,0.765,0.068,0.095,0.098,0.542,0.023,0.786,Good,0.374,0.077,0.335,0.866,0.674,0.209,0.931,0.564,0.048,0.897,0.545,0.415,1
1102,0.729,0.658,0.071,0.103,0.262,0.669,0.049,Average,0.447,0.191,0.506,0.641,0.521,0.877,0.613,0.175,0.512,0.999,0.161,0.421,1
1103,0.41,0.703,0.308,0.912,0.051,0.248,0.543,Good,0.963,0.001,0.827,0.94,0.98,0.165,0.627,0.447,0.867,0.428,0.816,0.24,1
1104,0.736,0.603,0.821,0.58,0.532,0.928,0.035,Average,0.385,0.533,0.162,0.56,0.228,0.453,0.199,0.992,0.033,0.058,0.621,0.682,1
1105,0.239,0.086,0.091,0.344,0.664,0.025,0.597,Excellent,0.703,0.288,0.889,0.644,0.581,0.071,0.682,0.902,0.119,0.556,0.193,0.385,1
1106,0.285,0.951,0.501,0.906,0.862,0.084,0.088,Average,0.671,0.652,0.533,0.256,0.723,0.23,0.038,0.288,0.83,0.156,0.003,0.367,1
1107,0.587,0.468,0.743,0.129,0.583,0.927,0.318,Excellent,0.909,0.653,0.133,0.582,0.341,0.402,0.769,0.689,0.257,0.152,0.843,0.163,2
1108,0.214,0.116,0.774,0.627,0.706,0.513,0.829,Excellent,0.665,0.18,0.472,0.026,0.289,0.769,0.272,0.678,0.441,0.121,0.681,0.637,2
1109,0.603,0.189,0.247,0.257,0.824,0.476,0.74,Good,0.054,0.074,0.359,0.481,0.979,0.678,0.992,0.629,0.657,0.093,0.142,0.43,1
1110,0.498,0.569,0.647,0.005,0.397,0.628,0.365,Average,0.951,0.432,0.529,0.909,0.62,0.11,0.203,0.463,0.587,0.434,0.392,0.025,1
1111,0.069,0.264,0.446,0.862,0.669,0.608,0.608,Good,0.456,0.491,0.021,0.661,0.013,0.681,0.108,0.849,0.007,0.43,0.66,0.465,1
1112,0.26,0.929,0.665,0.901,0.597,0.925,0.178,Average,0.118,0.178,0.777,0.91,0.689,0.171,0.572,0.382,0.716,0.609,0.952,0.829,2
1113,0.232,0.691,0.286,0.619,0.944,0.064,0.753,Bad,0.136,0.349,0.61,0.81,0.436,0.862,0.096,0.903,0.227,0.324,0.574,0.687,1
1114,0.332,0.355,0.153,0.57,0.294,0.921,0.105,Average,0.432,0.224,0.714,0.669,0.293,0.52,0.546,0.419,0.352,0.313,0.494,0.785,1
1115,0.474,0.926,0.327,0.404,0.009,0.29,0.317,Excellent,0.108,0.607,0.643,0.808,0.14,0.364,0.193,0.926,0.609,0.469,0.772,0.588,2
1116,0.394,0.081,0.507,0.07,0.287,0.248,0.337,Bad,0.463,0.25,0.579,0.942,0.264,0.595,0.475,0.694,0.792,0.84,0.155,0.739,1
1117,0.546,0.895,0.923,0.366,0.146,0.88,0.478,Excellent,0.248,0.417,0.723,0.74,0.056,0.355,0.477,0.066,0.333,0.448,0.995,0.536,2
1118,0.538,0.386,0.79,0.521,0.644,0.423,0.2,Bad,0.832,0.645,0.576,0.432,0.138,0.802,0.684,0.554,0.226,0.434,0.317,0.291,1
1119,0.941,0.072,0.067,0.102,0.22,0.001,0.304,,0.206,0.93,0.196,0.654,0.048,0.702,0.672,0.387,0.928,0.772,0.455,0.818,1
1120,0.192,0.294,0.272,0.444,0.232,0.108,0.544,Bad,0.42,0.139,0.324,0.187,0.873,0.858,0.078,0.708,0.515,0.467,0.797,0.594,1
1121,0.361,0.578,0.809,0.745,0.23,0.629,0.954,Good,0.15,0.129,0.104,0.177,0.247,0.135,0.989,0.612,0.288,0.714,0.73,0.303,1
1122,0.319,0.107,0.246,0.697,0.75,0.777,0.819,Excellent,0.153,0.965,0.161,0.95,0.075,0.696,0.691,0.764,0.555,0.319,0.451,0.644,2
1123,0.432,0.298,0.978,0.285,0.571,0.642,0.253,Average,0.936,0.909,0.802,0.867,0.445,0.208,0.391,0.592,0.908,0.847,0.653,0.463,1
1124,0.254,0.563,0.381,0.323,0.062,0.636,0.482,Bad,0.567,0.16,0.886,0.162,0.311,0.404,0.957,0.615,0.885,0.711,0.206,0.326,1
1125,0.513,0.308,0.898,0.584,0.725,0.166,0.884,Excellent,0.805,0.222,0.798,0.331,0.019,0.23,0.308,0.494,0.932,0.045,0.266,0.492,1
1126,0.944,0.671,0.411,0.031,0.193,0.18,0.646,Excellent,0.684,0.471,0.032,0.953,0.807,0.802,0.859,0.294,0.458,0.194,0.499,0.386,1
1127,0.452,0.837,0.722,0.978,0.841,0.399,0.335,Average,0.538,0.266,0.672,0.808,0.293,0.58,0.046,0.4,0.933,0.666,0.822,0.763,2
1128,0.821,0.934,0.35,0.951,0.612,0.161,0.558,Average,0.664,0.904,0.681,0.569,0.976,0.493,0.297,0.883,0.13,0.911,0.627,0.057,2
1129,0.059,0.295,0.066,0.992,0.204,0.493,0.191,Average,0.75,0.23,0.414,0.773,0.42,0.45,0.452,0.992,0.148,0.022,0.854,0.916,1
1130,0.718,0.269,0.621,0.757,0.057,0.192,0.577,Good,0.095,0.668,0.542,0.986,0.459,0.601,0.589,0.541,1,0.253,0.656,0.665,1
1131,0.471,0.689,0.23,0.244,0.611,0.462,0.816,Excellent,0.512,0.009,0.215,0.573,0.935,0.725,0.901,0.71,0.378,0.579,0.708,0.407,2
1132,0.581,0.904,0.023,0.762,0.15,0.298,0.414,Excellent,0.221,0.165,0.493,0.478,0.479,0.784,0.551,0.853,0.794,0.292,0.412,0.154,1
1133,0.567,0.062,0.134,0.453,0.757,0.66,0.647,Good,0.23,0.962,0.571,0.142,0.848,0.472,0.327,0.54,0.204,0.876,0.721,0.254,1
1134,0.122,0.95,0.887,0.646,0.777,0.73,0.53,Excellent,0.798,0.432,0.269,0.581,0.924,0.599,0.553,0.184,0.677,0.958,0.451,0.784,2
1135,0.249,0.031,0.045,0.269,0.799,0.254,0.435,Average,0.305,0.9,0.321,0.092,0.425,0.895,0.125,0.293,0.91,0.03,0.423,0.26,1
1136,0.603,0.833,0.547,0.917,0.617,0.851,0.964,Average,0.322,0.699,0.658,0.752,0.2,0.911,0.72,0.28,0.188,0.336,0.59,0.005,2
1137,0.731,0.167,0.62,0.596,0.09,0.071,0.404,Excellent,0.494,0.152,0.188,0.764,0.519,0.966,0.583,0.8,0.944,0.319,0.399,0.54,1
1138,0.389,0.534,0.686,0.043,0.896,0.418,0.566,Excellent,0.259,0.14,0.238,0.263,0.793,0.504,0.437,0.792,0.309,0.515,0.874,0.626,1
1139,0.748,0.673,0.465,0.466,0.577,0.098,0.322,Average,0.881,0.675,0.89,0.161,0.267,0.917,0.887,0.879,0.514,0.794,0.082,0.296,1
1140,0.422,0.751,0.758,0.14,0.426,0.185,0.982,Excellent,0.433,0.536,0.042,0.211,0.772,0.574,0.427,0.3,0.731,0.339,0.705,0.222,2
1141,0.667,0.063,0.239,0.202,0.73,0.907,0.472,Good,0.948,0.918,0.475,0.365,0.016,0.044,0.024,0.184,0.163,0.561,0.514,0.438,1
1142,0.668,0.305,0.75,0.843,0.802,0.256,0.975,Excellent,0.921,0.486,0.035,0.838,0.805,0.893,0.261,0.054,0.239,0.304,0.774,0.078,2
1143,0.582,0.625,0.292,0.4,0.427,0.612,0.396,Bad,0.383,0.812,0.928,0.726,0.308,0.252,0.393,0.43,0.716,0.689,0.21,0.13,1
1144,0.246,0.727,0.373,0.935,0.502,0.616,0.437,Bad,0.764,0.101,0.99,0.178,0.7,0.965,0.893,0.699,0.599,0.657,0.724,0.121,2
1145,0.89,0.898,0.547,0.408,0.74,0.37,0.035,Good,0.756,0.188,0.496,0.694,0.406,0.327,0.602,0.932,0.408,0.974,0.299,0.615,1
1146,0.133,0.103,0.503,0.463,0.788,0.69,0.436,Average,0.43,0.755,0.518,0.972,0.301,0.268,0.54,0.663,0.967,0.424,0.705,0.34,1
1147,0.003,0.42,0.918,0.26,0.788,0.836,0.021,Bad,0.127,0.39,0.04,0.707,0.261,0.013,0.755,0.585,0.595,0.823,0.062,0.654,1
1148,0.886,0.039,0.794,0.535,0.975,0.486,0.957,Excellent,0.499,0.735,0.508,0.202,0.01,0.279,0.386,0.071,0.852,0.982,0.139,0.687,2
1149,0.818,0.534,0.875,0.614,0.387,0.065,0.764,Average,0.559,0.553,0.702,0.032,0.515,0.554,0.106,0.959,0.875,0.222,0.001,0.145,1
1150,0.239,0.624,0.52,0.954,0.483,0.499,0.365,Excellent,0.717,0.223,0.865,0.261,0.352,0.961,0.002,0.781,0.112,0.874,0.754,0.47,2
1151,0.547,0.264,0.113,0.609,0.607,0.469,0.947,Excellent,0.06,0.307,0.675,0.825,0.265,0.909,0.387,0.793,0.877,0.525,0.053,0.922,1
1152,0.881,0.148,0.656,0.208,0.631,0.446,0.13,Average,0.415,0.406,0.973,0.546,0.076,0.138,0.618,0.727,0.553,0.166,0.208,0.259,1
1153,0.987,0.736,0.332,0.915,0.244,0.934,0.878,Bad,0.154,0.909,0.384,0.213,0.623,0.218,0.688,0.459,0.917,0.059,0.742,0.789,1
1154,0.263,0.34,0.347,0.331,0.937,0.1,0.746,Average,0.23,0.787,0.066,0.84,0.535,0.514,0.872,0.979,0.201,0.243,0.719,0.65,1
1155,0.389,0.031,0.096,0.422,0.867,0.039,0.431,Good,0.199,0.071,0.743,0.747,0.378,0.117,0.494,0.389,0.501,0.909,0.924,0.177,1
1156,0.475,0.365,0.981,0.533,0.067,0.307,0.827,Average,0.935,0.619,0.275,0.174,0.064,0.95,0.519,0.037,0.077,0.773,0.767,0.508,2
1157,0.947,0.66,0.782,0.739,0.162,0.473,0.153,Good,0.713,0.931,0.404,0.589,0.777,0.888,0.188,0.446,0.336,0.924,0.695,0.848,2
1158,0.177,0.434,0.571,0.775,0.817,0.568,0.08,Good,0.002,0.795,0.038,0.338,0.147,0.559,0.368,0.291,0.24,0.751,0.246,0.934,1
1159,0.622,0.452,0.626,0.684,0.96,0.465,0.804,Excellent,0.021,0.61,0.882,0.638,0.672,0.228,0.551,0.075,0.906,0.926,0.096,0.685,2
1160,0.148,0.408,0.704,0.459,0.78,0.907,0.26,Bad,0.638,0.5,0.077,0.114,0.177,0.539,0.228,,0.939,0.333,0.263,0.67,1
1161,0.336,0.218,0.487,,0.46,0.668,0.396,Bad,0.139,0.258,0.942,0.249,0.865,0.959,0.866,0.849,0.714,0.066,0.63,0.456,2
1162,0.559,0.804,0.437,0.135,0.456,0.26,0.217,Good,0.996,0.905,0.031,0.208,0.695,0.358,0.36,0.791,0.939,0.689,0.985,0.173,2
